id;data;sumario;licao;dada;turma_id;curriulo_id
1;2020-01-26T09:54:00;Handmade Steel Computer Inverse Haven;78025;false;1;1
2;2020-01-26T04:22:12;Coordinator Savings Account ubiquitous;82308;false;2;2
3;2020-01-25T15:53:31;firewall Idaho Adaptive;36456;false;3;3
4;2020-01-26T05:17:20;Vista Engineer;19754;true;4;4
5;2020-01-25T17:18:14;incubate optical;30447;false;5;5
6;2020-01-25T22:57:49;XML;32238;true;6;6
7;2020-01-26T00:29:56;SAS auxiliary;65329;true;7;7
8;2020-01-25T18:52:07;IB Tactics Proactive;4163;false;8;8
9;2020-01-25T16:04:00;Svalbard & Jan Mayen Islands Gloves;66345;true;9;9
10;2020-01-25T20:12:39;reinvent Alabama Program;64259;false;10;10
