id;data;presente;numero_processo;aula_id
1;2020-01-26T13:15:25;true;withdrawal Brand parse;1
2;2020-01-25T19:35:25;false;Metal payment;2
3;2020-01-26T02:28:50;true;migration THX;3
4;2020-01-26T02:14:17;false;Cotton parsing Chile;4
5;2020-01-25T20:08:59;true;EXE toolset;5
6;2020-01-26T08:46:39;true;invoice Nakfa Interactions;6
7;2020-01-26T01:05:20;false;CSS Avon back-end;7
8;2020-01-25T23:00:14;false;Administrator olive;8
9;2020-01-25T16:35:50;true;interface hacking Dynamic;9
10;2020-01-25T21:41:02;false;mesh alarm Coordinator;10
