id;perido_lective;objectivo_geral;semana_lectiva;de;ate;unidade_tematica;conteudo;procedimento_ensino;recursos_didaticos;tempo_aula;forma_avaliacao;curriulo_id
1;invoice;../fake-data/blob/hipster.txt;98345;2020-01-25;2020-01-25;exploit;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;94564;deposit Credit Card Account calculate;1
2;composite Executive;../fake-data/blob/hipster.txt;98720;2020-01-26;2020-01-25;New Jersey HTTP;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;61712;Berkshire Turks and Caicos Islands actuating;2
3;Washington parse;../fake-data/blob/hipster.txt;34136;2020-01-26;2020-01-26;Global time-frame olive;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;89258;budgetary management Agent;3
4;invoice;../fake-data/blob/hipster.txt;22156;2020-01-25;2020-01-25;Bedfordshire Bedfordshire Health;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;75916;Course;4
5;driver solution;../fake-data/blob/hipster.txt;30672;2020-01-26;2020-01-26;Avon Row Russian Ruble;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;68097;Principal Soft metrics;5
6;fuchsia hack Gorgeous;../fake-data/blob/hipster.txt;12153;2020-01-26;2020-01-25;ubiquitous Chips;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;31092;Credit Card Account challenge Sleek Metal Bacon;6
7;human-resource deposit;../fake-data/blob/hipster.txt;97813;2020-01-25;2020-01-25;Concrete methodology access;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;99287;Buckinghamshire silver matrix;7
8;e-markets Awesome payment;../fake-data/blob/hipster.txt;28230;2020-01-25;2020-01-25;Nebraska;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;11344;Brand Oklahoma;8
9;Persistent GB extend;../fake-data/blob/hipster.txt;27875;2020-01-26;2020-01-26;SMS;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;91886;explicit visualize Crossroad;9
10;Bhutan maroon bus;../fake-data/blob/hipster.txt;95553;2020-01-25;2020-01-25;deposit;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;37117;Moldovan Leu collaborative District;10
