id;nome;sigla;competencias;area_formacao
1;Kansas Kazakhstan payment;ADP SMS;../fake-data/blob/hipster.txt;calculating
2;backing up purple;Graphic Inte;../fake-data/blob/hipster.txt;Hat 6th generation Massachusetts
3;mobile Luxembourg;hack Soft;../fake-data/blob/hipster.txt;Swedish Krona multi-byte
4;HillXXXXXX;Gorgeous Gra;../fake-data/blob/hipster.txt;e-business leading edge Car
5;infrastructures;withdrawal I;../fake-data/blob/hipster.txt;Pakistan Rupee
6;Developer Generic Rubber Shoes;Towels;../fake-data/blob/hipster.txt;auxiliary Bike auxiliary
7;Saudi Arabia Branding;Small Frozen;../fake-data/blob/hipster.txt;Ethiopia Handmade Frozen Gloves
8;Open-architected Home Loan Account;Generic info;../fake-data/blob/hipster.txt;Soft fresh-thinking
9;Customizable Gorgeous Rubber Pizza;Refined;../fake-data/blob/hipster.txt;multi-byte
10;Pitcairn Islands;SDD magnetic;../fake-data/blob/hipster.txt;American Samoa Analyst
