id;descricao;terminal;tempo_semanal;periodo_lectivo;componente;disciplina;classe;curso_id
1;Yemeni Rial Creative;false;7;Home;content Product;Bike;77042;1
2;Handcrafted Cotton Chips generating View;false;1;Diverse;solid state Sleek;Optional Branding;84401;2
3;Plastic;false;5;Madagascar;Indian Rupee Ngultrum;Grocery Towels navigating;22564;3
4;portal THX dynamic;true;7;solid state Home Loan Account;models Awesome Plastic Sausages Tasty;EXE;31753;4
5;enhance digital;true;8;Soap Handcrafted Rubber Car Centralized;Rubber Rustic Pizza;Texas Toys capacitor;61121;5
6;Sao Tome and Principe Cambridgeshire Practical;true;9;neural;copying;channels;46848;6
7;incremental e-commerce transmit;true;9;Personal Loan Account SMS;THX Steel;Guam connecting generating;58300;7
8;microchip Generic;true;5;Borders;utilisation hacking;Credit Card Account;32061;8
9;Roads Music;true;5;Clothing Toys;Nebraska technologies maximized;dynamic;97724;9
10;Mobility;true;10;partnerships;copying Sleek;parsing Pa'anga Borders;59130;10
