id;grupo;numero;argumento;questao;teste_id
1;Web olive;59429;port backing up;Cheese system open-source;1
2;mobile;74729;Sleek clicks-and-mortar;Colorado Tactics;2
3;Intelligent;33318;payment;action-items deposit e-enable;3
4;Minnesota uniform Refined Plastic Shoes;91195;Metical Creative;optical;4
5;mission-critical Kids Cotton;85366;Solutions;SMTP;5
6;Tasty;3315;Consultant calculating;Future Jewelery;6
7;Illinois methodologies Graphic Interface;25277;Quality;Profound;7
8;Centralized Licensed AGP;5495;Bosnia and Herzegovina Toys Up-sized;Ergonomic;8
9;real-time Profit-focused orchid;2665;Savings Account;discrete;9
10;Accounts;61138;Auto Loan Account Representative;flexibility Manat circuit;10
