id;categoria;periodo_lectivo;duracao;data;curriculo_id;turma_id;professor_id
1;AI;THX;94618;2020-01-25T17:43:52;1;1;1
2;Generic Frozen Hat;Concrete database groupware;31858;2020-01-26T13:35:29;2;2;2
3;alarm Refined;data-warehouse Awesome Wooden Chicken;68918;2020-01-26T11:57:29;3;3;3
4;bricks-and-clicks reintermediate reintermediate;Heights;12693;2020-01-25T20:18:38;4;4;4
5;Berkshire;Functionality interface;66324;2020-01-26T08:34:53;5;5;5
6;firewall silver;Station;42498;2020-01-25T15:03:47;6;6;6
7;port;Frozen Licensed Wooden Shirt;31996;2020-01-26T12:58:15;7;7;7
8;backing up;synthesize Finland Fresh;26808;2020-01-26T02:08:57;8;8;8
9;matrix turn-key;Front-line Right-sized;34907;2020-01-25T14:33:41;9;9;9
10;Generic Wooden Tuna Officer;optimize overriding Avon;82730;2020-01-25T21:36:36;10;10;10
