id;descricao;ano_lectivo;data;abertura;encerramento;lotacao;aberta;periodo_lectivo;turno;sala;classe;curso_id;coordenador_id
1;Netherlands Antillian Guilder;82045;2020-01-25T14:28:29;2020-01-25;2020-01-26;10329;true;migration Investment Account;Shirt;95891;93;1;1
2;Junctions compress optimize;68287;2020-01-25T21:40:11;2020-01-25;2020-01-26;92851;true;Swedish Krona;payment;69771;19802;2;2
3;Regional;71990;2020-01-26T12:40:48;2020-01-26;2020-01-26;95113;false;Handmade Metal Keyboard;Small haptic;49508;32166;3;3
4;Dynamic Hat Refined;95319;2020-01-26T13:38:16;2020-01-25;2020-01-26;74442;false;Chicken application;RSS Customer Liberian Dollar;70705;74428;4;4
5;implementation;83619;2020-01-26T08:25:02;2020-01-25;2020-01-26;76204;false;HDD Cambridgeshire;Buckinghamshire;18782;85518;5;5
6;bypassing Iowa digital;592;2020-01-26T04:16:38;2020-01-25;2020-01-25;26030;false;Fresh;Texas;37111;49300;6;6
7;Indiana PCI IB;23816;2020-01-26T10:17:45;2020-01-25;2020-01-25;87378;true;Rial Omani;Paradigm;38503;63628;7;7
8;neural;93634;2020-01-26T10:55:00;2020-01-25;2020-01-26;62864;false;time-frame;relationships;60369;20680;8;8
9;microchip back up bypassing;59311;2020-01-26T02:59:35;2020-01-25;2020-01-25;19559;false;Crossing motivating;Steel Reactive;88031;20716;9;9
10;Tactics Computer;20204;2020-01-26T02:51:41;2020-01-25;2020-01-26;14673;false;middleware Kuwait;incubate Netherlands Antillian Guilder;60841;19749;10;10
